text	label
加油，推	Non-offensive
哪種淚崩	Non-offensive
最後嗰下手勢代表咩	Non-offensive
羅浚勝哈	Non-offensive
請出個阿公的拜託	Non-offensive
豬剛鬣生前是個情種啊	Non-offensive
阿嘶好正	Non-offensive
你中文好好	Non-offensive
陳樂樂快去試試賓士	Non-offensive
買到票ㄌ炫爆	Non-offensive
這個傑哥看來是完全不懂哦	Non-offensive
說好的改名的狗呢	Non-offensive
你有大麻煩囉	Non-offensive
對啊沒賺到什麼是在管啥眼紅風紀股長	Non-offensive
許績掰好厲害	Non-offensive
所以呢窮人家有錢打民事官司然後又要說沒錢不能結婚	Non-offensive
是不是想	Non-offensive
其實也不能說黑道應該是稱呼地方知名人士	Non-offensive
多分享這種新聞好嗎	Non-offensive
姊姊生日快樂	Non-offensive
男的豈不是更好嗎	Non-offensive
人帥真好，什麼樣的妹子，都吃的到	Non-offensive
就算強能贏的過國家資源那位嗎	Non-offensive
支持年火爆回歸	Non-offensive
像不像在描述你隔壁的	Non-offensive
事實上是我沒有朋友	Non-offensive
東廠民進黨，投不下去，拔菜都來不及了，拒投臺毒工做者	Non-offensive
郭芯妤真的好看嗎	Non-offensive
哈哈水準很低耶	Non-offensive
秀秀劉叫哥哥去	Non-offensive
偉大的人不像些愛發威的，天收拾是這些人	Non-offensive
做回自己、’支持妳的	Non-offensive
塊以下才買	Non-offensive
了不起高操作的啊童	Non-offensive
阿明現況如何生意好嗎擔心時間一久、又被遺忘了	Non-offensive
椰羊快樂軌道砲	Non-offensive
郭冠賢後面笑爛	Non-offensive
嘴巴說人本交通然後做出來的交通建設行人不能走	Non-offensive
謝昕達餘書瑋還敢下來啊	Non-offensive
呢條友仔都係	Non-offensive
看下來耳東陳是年輕人	Non-offensive
後面都沒在跟了這傢伙看起來沒甚麼竟然要用到須佐	Non-offensive
上天要他色盲也許是一個懲罰	Non-offensive
那麼帥怎麼會有人說醜	Non-offensive
希望公車感謝有你們真好加油	Non-offensive
假低都是假低	Non-offensive
他自己老阿北就算了還直接幫你四捨五入生日快樂姆姆	Non-offensive
李孟昕敢下來啊冰鳥	Non-offensive
投了大吉讚	Non-offensive
金媽實力又再次證明無人能超越了	Non-offensive
城之內像你這種軟腳蝦的決鬥者	Non-offensive
哈哈真的乖	Non-offensive
只能說你太前衛了，他們跟不上	Non-offensive
加油希望住附近的善心人士可以多跟他買買	Non-offensive
周君叡尬一下了	Non-offensive
支持開吉	Non-offensive
すまねぇ	Non-offensive
小的親姊竟然是大	Non-offensive
但他真的很弱	Non-offensive
娘娘好可愛	Non-offensive
真的跑去了啊	Non-offensive
你又不胖講什麼亂糟的話啊	Non-offensive
趕快載虹彩的來洩憤一下啊	Non-offensive
小商人好有愛心，找一批身心障礙人士來就業	Non-offensive
廖生，一路好走	Non-offensive
何楚堯只能幫你到這裡了	Non-offensive
她怎麼這麼棒	Non-offensive
你既戇鳩原來唔係扮	Non-offensive
這老公家裡肯定很有錢	Non-offensive
倉鼠何辜	Non-offensive
而家哩隻黑膠抄到天價	Non-offensive
鄭哈比如何	Non-offensive
辛苦了母娘丫	Non-offensive
加油加油加油不管環境如何，你們就是自發光體	Non-offensive
朝千羽九洛笑慘	Non-offensive
到底要被警察約談幾次	Non-offensive
就是要這種敢嘴客戶評論的老闆，要不然在臺灣都以為花錢就是老大	Non-offensive
可是你還是吃了豬	Non-offensive
發明這個個人我希望他這輩子以後只能看廣告	Non-offensive
林爸爸，真的是偉大的爸爸	Non-offensive
王堂軒去不去	Non-offensive
唉唷中山裡有隻露達期欸	Non-offensive
後面根本刀劍的啊	Non-offensive
